word or phrase,translation
ああ,"like that, so"
嗚呼,"ah!, oh!, alas!, yes, indeed, that is correct, aah, gah, argh, hey!, yo!, uh huh, yeah yeah, right, gotcha"
嗚呼嗚呼,"aaah!, oooh!, oh no!, oh boy!"
ああ言う,"that sort of, like that"
愛,"love, affection, care, attachment, craving, desire, agape, Ireland"
藍,"dyers knotweed (Persicaria tinctoria, used to produce indigo dye), indigo (dye), indigo (colour)"
愛育,"tender nurture, affectionate rearing, raising with loving care"
相打ち,"simultaneously striking one another (in kendo, etc.), draw, tie"
愛煙家,"heavy smoker, habitual smoker, person who loves smoking, tobacco lover"
相変わらず,"as usual, as always, as before, as ever, still"
哀歓,"joys and sorrows, happiness and sadness"
哀感,pathos
合気道,aikido
愛嬌,"charm, attractiveness, amiability, winsomeness, courtesy, ingratiating behaviour, entertainment, amusement, fun"
愛くるしい,"lovely, cute, charming, sweet"
愛犬,"pet dog, beloved dog, love of dogs, fondness for dogs"
愛好,"love, adoration"
愛国,"love of ones country, patriotism, Ireland"
合言葉,"password, watchword, motto, slogan"
愛護,"protection, tender care"
愛妻,beloved wife
挨拶,"greeting, greetings, salutation, salute, condolences, congratulations, speech (congratulatory or appreciative), address, reply, response, revenge, retaliation, a fine thing to say, dialoging (with another Zen practitioner to ascertain their level of enlightenment), relationship (between people), connection, intervention, mediation, mediator"
愛車,"(ones) beloved car (or motorcycle, bicycle, etc.), (ones) wheels"
愛社,devotion to ones company
哀愁,"pathos, sorrow, grief"
愛書,"great love of books, favorite book (favourite)"
愛称,"pet name, nickname, name used to indicate affection, intimacy, informality, etc."
相性,"affinity, compatibility, chemistry (between people)"
愛唱,"loving to sing (a song), singing with great fondness"
愛情,"love, affection"
愛人,"lover, mistress"
愛す,to love
愛する,to love
合図,"sign, signal, cue"
哀切,"pathetic, plaintive"
愛想,"amiability, friendliness, affability, sociability, fondness (of someone), affection, liking, compliments, civilities, courtesies, flattery, hospitality, special treatment, entertainment, bill (at a restaurant), check"
愛憎,love and hate
愛蔵,"treasured, cherished"
相対,"involving only the parties concerned, tete-a-tete"
間,"space (between), gap, interval, distance, stretch, period of time (during, while), duration, interval, between (two parties or things), among (a group), relations (between), relationship, midpoint, average, halfway, middle ground, due to, because of"
間柄,"relationship, relation, terms (good, friendly, etc.)"
間中,during
愛着,"attachment (esp. to things), love, affection, fondness"
愛鳥,pet bird
彼奴,"he, she, that guy, that, that one, that thing"
相次ぐ,"to follow in succession, to happen one after another"
あいつ等,"they, those guys, those fellows"
相槌,"aizuchi, back-channeling, interjections indicating that one is paying attention, two smiths hammering at an object in turn"
相手,"companion, partner, company, other party, addressee, opponent (sports, etc.)"
相手方,"other party, opposite party, opposing team, ones opponent, ones adversary"
相手取る,"to challenge (esp. in a lawsuit), to take on an opponent (in negotiations, contest, etc.)"
哀悼,"condolence, regret, tribute, sorrow, sympathy, lament"
愛読,reading with pleasure
相半ばする,"to be equal in number, degree, etc. (of two things in opposition), to balance, to cancel out"
生憎,"unfortunately, sorry, but ..."
合いの手,"interlude (in traditional Japanese music), chanting or clapping along (during a song or dance), interjection"
相乗り,"riding together, sharing a car (taxi, etc.), doing in collaboration, backing of the same candidate by different political parties"
愛馬,"favourite horse, favorite horse"
相部屋,"sharing a room, dormitory room, match between wrestlers from the same stable"
相棒,"partner, pal, accomplice"
合間,"interval, break, pause, spare moment"
曖昧,"vague, ambiguous, unclear, shady, disreputable, fuzzy"
相まって,"coupled with, together"
愛用,"favorite, favourite, habitually used"
愛欲,"passion, sexual desire, lust, attachment (esp. to ones family or a member of the opposite sex)"
愛らしい,"pretty, charming, lovely, adorable"
会う,"to meet, to encounter, to see, to have an accident, to have a bad experience"
合う,"to come together, to merge, to unite, to meet, to fit, to match, to suit, to agree with, to be correct, to be profitable, to be equitable, to do ... to each other, to do ... together"
敢えて,"purposely (of something needless, unexpected or seemingly counterproductive, etc.), daringly (doing something), deliberately, intentionally, not necessarily, not particularly, not especially, definitely not"
和え物,"chopped fish, shellfish or vegetables, dressed with (miso or other) sauce"
亜鉛,zinc (Zn)
青,"blue, azure, green, green light (traffic), black (horse coat color), blue 5-point card, immature, unripe, young"
青々,"verdant, fresh and green, bright green, lush"
青嵐,"wind blowing through fresh verdure, mountain air"
青い,"blue, azure, green, pale, gray, grey, unripe, inexperienced"
葵,"mallow (any plant of family Malvaceae), Asarum caulescens (species of wild ginger)"
青息吐息,deep distress
青色,blue
青色申告,"blue return, blue-paper income-tax return, type of income tax return filing which allows for special income deductions"
青梅,unripe plum
青木,"Japanese laurel, spotted laurel, Aucuba japonica, live tree"
扇ぐ,"to fan, to incite, to instigate"
仰ぐ,"to look up (at), to look up to, to respect, to revere, to ask for (e.g. guidance), to seek, to turn to (someone) for, to depend on, to rely on, to gulp down, to quaff, to drink"
青ざめる,"to become pale, to turn pale"
青信号,"green light (traffic), green light, go-ahead signal, permission to go ahead (with something)"
青写真,"blueprint, cyanotype, blueprint (for the future), plan"
青白い,"pale, pallid, bluish-white"
青空,blue sky
青田,green paddy
青田買い,"speculatively buying a rice harvest, while the fields are still green, recruiting of university students before the agreed date"
青竹,green bamboo
青砥,medium-grade millstone
青菜,greens
青葉,fresh leaves
仰向け,facing upward
青柳,"green willow (i.e. one that has budded), meat of the trough shell (Mactra chinensis)"
煽る,"to fan (oneself, flames, etc.), to flap (in the wind), to instigate, to stir up, to incite, to agitate, to drive up prices (by buying a large amount of something), to take a photo from a low angle, to tailgate"
垢,"dirt, filth, grime"
赤,"red, crimson, scarlet, red-containing colour (e.g. brown, pink, orange), Red (i.e. communist), red light (traffic), red ink (i.e. in finance or proof-reading), (in) the red, complete, total, perfect, obvious, copper, red 5-point card"
赤々,"bright red, bright"
赤い,"red, crimson, scarlet, vermilion, vermillion, Red, communist, beautiful"
赤色,"red, red color (colour), communism, the left"
赤紙,"draft papers, call-up notice, red paper"
赤毛,"red hair, ginger hair"
赤子,baby
証,"proof, evidence, sign, testimony, vindication, certificate, license, membership card, to testify (usu. Christian religious context), enlightenment, symptoms (in Chinese medicine), patients condition"
赤潮,red tide
赤信号,"red light (traffic), red light, signal to stop, sign of danger"
赤字,"(being in) the red, deficit, red letter, red writing, corrections (by a teacher or proofreader) written in red"
赤地,"red cloth, red background"
明かす,"to pass (the night), to spend, to reveal, to divulge, to disclose, to expose, to prove, to verify"
赤茶ける,"to turn reddish-brown, to turn rufous, to become discolored, to become discoloured"
赤ちゃん,"baby, infant"
暁,"dawn, daybreak, event (e.g. in the event of ...), occasion, occurrence"
赤土,"red clay, red earth, laterite, dark-red paint"
茜,"madder (esp. Japanese madder, Rubia argyi), madder (red color)"
赤旗,"red flag, Red Flag (Communist Party newspaper)"
赤松,"Japanese red pine (Pinus densiflora), Japanese umbrella pine, tanyosho pine"
