Level	Label	Definition
1	Le dialogue	The dialogue
1	Observer	"To observe, watch; to note, notice (O…)"
1	Le dessin	Drawing; design (pattern) (De…)
1	Identifier	To identify; to log on (I…)
1	Réécouter	To listen again (Ré…)
1	Compléter	To complete (C…)
1	Saluer	"To greet; to wave to (as a greeting); (military, nautical) to salute"
1	Demain	Tomorrow (Adv)
1	L'heure	Hour (Fem)
1	Le monde	The world; people
1	La salle	The hall; room (in a house) (S...)
1	La chambre	"The bedroom, any room (C...)"
1	La pièce	Room; piece; (money) coin (P...)
1	La salle de classe	The classroom
1	L'accueil	"Reception, hospitality; acceptance; (computing) home page (of a website) (Ac…)"
1	L'escalier	"The step, stair; staircase (Es...)"
1	L'université	The university (institution of higher education)
1	Le couloir	Corridor; aisle (in an airliner) (Co…)
1	Jeune	Young (Adj)
1	La fille	Girl; daughter
1	L'homme	Man
1	Le matin	Morning
1	Le soir	Evening
1	L'après-midi	Afternoon (Both masculine and feminine)
1	Écouter	(intransitive) to listen; (transitive) to listen to
1	Associer	To associate
1	La personne	"Person; (with ne) no one, nobody"
1	Arriver	To arrive; to happen; to manage to
1	Prendre	To take; to eat / drink (P…)
1	"Le jour de congé
un jour de congé
jour de congé"	Day off
1	Relever	"To raise (Rel...)
raise"
1	Indiquer	"To indicate
indicate"
1	Combien de fois?	How many times?
1	"Nouveau
nouvelle"	New (Adj)
1	"Le mot
mot
un mot"	Word
1	Identique	Identical (Adj)
1	Différencier	"To differentiate
differentiate"
1	"La différence
une différence
différence"	Difference
1	"Différent
différente"	Different (Adj)
1	"La fois
une fois
fois"	"Time, instance, a repition"
1	Répondre	"To answer
answer
to reply
reply"
1	"Le son
un son
son"	Sound
1	Puis	And (Conjunction); Then (Adv) (P...)
1	Lire	"To read; (reflexive, se lire) to be read
read"
1	"La voix
une voix
voix"	Voice; (linguistics) grammatical voice
1	La voix passive	The passive voice
1	La voix active	The active voice
1	"Haut
haute"	High (Adj)
1	Russe	"Russian (Noun, Adj, and language)"
1	Étudier	"To study
study"
1	"L'étudiant
un étudiant
étudiant"	Student
1	"L'étudiante
un étudiant
étudiant"	Student (Feminine)
1	"La situation
une situation
situation"	Situation
1	"Le congé
un congé
congé"	"Leave, holiday (time off, absence from work, etc.)
vacacion"
1	"Le signe
un signe
signe"	Sign
1	"Le miroir
un miroir
miroir"	Mirror
1	Sembler	"To seem, to appear to be
seem
appear to be
to look
look"
1	La coccinelle	"Ladybird (lady-bird), ladybeetle (lady beetle), ladybug (lady-bug) (C…)"
1	"La solution
une solution
solution"	Solution (to a problem)
1	L'embouteillage	Traffic jam
1	"La raison
raison
une raison"	Reason
2	Épeler	To spell (É…)
2	Le prénom	"First name, given name (Pr…)"
2	"La carotte
une carotte
carotte"	Carrot
2	La faculté	Department (of a university); (by extension) a university (Fa…)
2	La fac	"(informal, France) university (like faks)"
2	"Le cinéma
un cinéma
cinéma"	"Cinema (The art of making movies, the movie industry, or a movie theatre) (C...)"
2	Célèbre	Famous (Adj) (C…)
2	"La leçon
une leçon
leçon"	Lesson
2	"Le garçon
garçon
un garçon"	"Boy; waiter
boy"
2	"Le chocolat
un chocolat
chocolat"	Chocolate
2	"L'été
un été
été"	Summer
2	"Le frère
un frère
frère"	Brother
2	"La tête
une tête
tête"	Head
2	"La fête
une fête
fête"	"Celebration, party; holiday
party"
2	"La fenêtre
fenêtre
une fenêtre"	Window
2	"La gare
une gare
gare"	Train station
2	"La gomme
une gomme"	"Rubber, eraser"
2	La lagune	"Lagoon, shallow body of coastal water (La…)"
2	"Le légume
un légume
légume"	Vegetable
2	Le griot	"Griot (African storyteller); (by extension, derogatory) Someone who tells stories to gullible people (Gr…)"
2	"Le gilet
un gilet
gilet"	"Sweater, waistcoat, sleeveless jacket"
2	"La génération
une génération
génération"	Generation
2	La gymnastique	"(sports) gymnastics; (school) PE, physical education"
2	"Le champagne
un champagne
champagne"	Champagne
2	"L'hôpital
un hôpital
hôpital"	Hospital
2	"La compréhension
une compréhension
compréhension"	"Comprehension, understanding (Co...)"
2	"La question
une question
question"	Question
2	Le cube	Cube (all senses); third grader (Cu…)
2	Le loup	Wolf; flaw (Lo…)
2	"L'aurore
aurore"	"Dawn, daybreak"
2	"Le lait
un lait
lait"	Milk
2	"Le lait chocolaté
chocolat au lait"	Chocolate milk
2	"Le droit
droit"	Right; law (study of law)
2	"La loi
une loi
loi"	Law (legal code)
2	"Le travail
travail
un travail"	"Work, job, task"
2	Travailler	"To work
work"
2	"Le détail
un détail
détail"	Detail
2	"La tante
une tante
tante"	Aunt
2	"La tente
une tente
tente"	Tent
2	"L'oncle
un oncle
oncle"	Uncle
2	Le matin	Morning
2	"Le vin
le vin
un vin
du vin"	Wine
2	Invariable	Invariable (Adj) (Inv…)
2	Brun	Brown (Adj) (B…)
2	"La route
route
une route"	Road
2	"L'autoroute
une autoroute
autoroute"	"Motorway, highway, freeway"
2	"L'outil
un outil
outil"	Tool
2	La fourmi	Ant; pins and needles (that feeling of a leg falling asleep) (Fo…)
2	"La bataille
une bataille
bataille"	Battle
2	"La liberté
une liberté
liberté"	"Liberty, freedom"
2	La Croatie	Croatia
2	Croate	Croatian (Adj) (Cr…)
2	"La maison
une maison
maison"	House
2	"La langue
une langue
langue"	Tongue; language
2	"Le cahier
un cahier
cahier"	"Notebook (Ca...)
copybook"
2	"Long
longue"	"Long (Adj) (L...)
lengthy"
2	La linguistique	Linguistics (Li…)
2	Hongrois	Hungarian (Adj) (Ho…)
2	Turc	Turkish (Adj) (Tu…)
2	Espérer	To hope (Es…)
2	La langue maternelle	Maternal language (Lan…ma…)
2	Les études hongroises	Hungarian studies (Hungarologija)
2	Nouvel	(Form of nouveau used before a masculine noun that starts with a vowel sound)
2	"Nouveau
nouvelle"	New (Adj)
2	Vieil	(form of vieux used before a masculine singular noun that starts with a vowel or mute h)
2	Vieux	Old (Adj) (V…)
2	Espagnol	The Spanish language; (Adj) Spanish
2	Japonais	The Japanese language; (Adj) Japanese
2	Afrique	Africa
2	"Le continent
un continent
continent"	Continent
2	"La voiture
une voiture
voiture"	Car
2	"Le chat
un chat
chat"	Cat
2	"Le chien
un chien
chien"	Dog
2	"Le cheval
un cheval
cheval"	Horse
2	"Les cheveux
cheveux
des cheveux"	Hair
2	Le Lundi	On Mondays
2	Libre	Free; available (Adj)
2	Bruyant	Noisy (Adj)
2	"Le bureau
un bureau
bureau"	Desk; office
2	Les messieurs	(Plural of le monsieur)
2	Fâché	Angry (Adj) (Fâ…)
2	Être pressé	To be in a hurry (Êt…pr…)
