target,native,Part of Speech
de,of,preposition
que,that,conjunction
no,no,adverb
a,to,preposition
y,and,conjunction
ser,to be,verb
en,in,preposition
por,for,preposition
qué,what,pronoun
con,with,preposition
para,for,preposition
estar,to be,verb
mi,my,adjective
pero,but,conjunction
sí,yes,adverb
si,if,conjunction
bien,well,adverb
ese,that,pronoun
su,his/her,adjective
yo,I,pronoun
como,like,conjunction
aquí,here,adverb
tu,your,adjective
más,more,adverb
este,this,pronoun
todo,all,adjective
ya,already,adverb
ahora,now,adverb
muy,very,adverb
haber,to have,verb
así,like that,adverb
ir,to go,verb
algo,something,pronoun
bueno,good,adjective
tener,to have,verb
él,he,pronoun
cuando,when,conjunction
saber,to know,verb
tú,you (informal),pronoun
nos,us,pronoun
nada,nothing,pronoun
cómo,how,adverb
o,or,conjunction
poder,to be able,verb
ella,she,pronoun
querer,to want,verb
hacer,to do,verb
gracia,thanks,noun
vez,time,noun
solo,only,adjective
porque,because,conjunction
creer,to believe,verb
usted,you (formal),pronoun
entonces,then,adverb
hola,hello,interjection
verdad,TRUE,noun
casa,home,noun
tan,so,adverb
quién,who,pronoun
tiempo,time,noun
dos,two,number
nunca,never,adverb
dónde,where,adverb
favor,please,noun
mucho,a lot,adjective
mí,me,pronoun
sentir,to feel,verb
señor,msiter,noun
mejor,better,adjective
decir,to say,verb
también,also,adverb
sobre,about,preposition
dios,god,noun
sin,without,preposition
ver,to see,verb
hombre,man,noun
vida,life,noun
alguien,someone,pronoun
cosa,thing,noun
siempre,always,adverb
hasta,until,preposition
ahí,there,adverb
año,year,noun
antes,before,adverb
ni,neither,conjunction
poco,a little,adjective
día,day,noun
uno,one,article
noche,night,noun
otro,another,adjective
acuerdo,agreement,noun
trabajo,work,noun
nosotros,we,pronoun
parecer,to seem,verb
gente,people,noun
padre,father,noun
mirar,to look,verb
mismo,same,adjective
nadie,nobody,pronoun
hablar,to speak,verb
ellos,they,pronoun
tal,such,adjective
pasar,to happen,verb
después,after,adverb
desde,from,preposition
dinero,money,noun
mundo,world,noun
claro,of course,adjective
momento,moment,noun
estado,state,noun
mañana,tomorrow,noun
madre,mother,noun
valer,to be worth,verb
lugar,place,noun
donde,where,adverb
seguro,sure,adjective
esperar,to wait,verb
nuevo,new,adjective
hijo,son,noun
allí,there,adverb
menos,less,adverb
tipo,type,noun
amigo,friend,noun
gran,great,adjective
nuestro,our,adjective
mujer,woman,noun
mamá,mom,noun
luego,then,adverb
papá,dad,noun
hoy,today,adverb
tres,three,number
necesitar,to need,verb
oír,to hear,verb
gustar,to like,verb
parte,part,noun
conmigo,with me,preposition
nombre,name,noun
mal,bad,adverb
deber,should,verb
realmente,really,adverb
aún,still,adverb
mío,mine,adjective
cada,each,adjective
importar,to matter,verb
contigo,with you,preposition
razón,reason,noun
alguno,some,adjective
tanto,so much,adverb
serio,serious,adjective
venir,to come,verb
idea,idea,noun
tarde,afternoon,noun
problema,problem,noun
hora,hour,noun
cierto,surely,adjective
quien,who,pronoun
demasiado,too much,adverb
amor,love,noun
